"We can't get the order instance right now.","We can't get the order instance right now."
"Rejection for Order #%1","Rejection for Order #%1"
"Paid Amount","Paid Amount"
"Order Grand Total","Order Grand Total"
"Submit Rejection","Submit Rejection"
"Total Paid","Total Paid"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
Accept,Accept
Reject,Reject
"Are you sure? You are going to accept the shopflix Order .","Are you sure? You are going to accept the shopflix Order ."
"Submit Comment","Submit Comment"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Invalid parent block for this block","Invalid parent block for this block"
"Comments History","Comments History"
"Order History","Order History"
Information,Information
"Order Information","Order Information"
Shipments,Shipments
"SHOPFLIX Order Shipments","SHOPFLIX Order Shipments"
"Order View","Order View"
"Shipment #%1 | %3","Shipment #%1 | %3"
Print,Print
"Print Shipping Label","Print Shipping Label"
Subtotal,Subtotal
Discount,Discount
Total,Total
ShopFlix,ShopFlix
Order,Order
"This order no longer exists.","This order no longer exists."
"You have not accept the item.","You have not accept the item."
"You accepted the order.","You accepted the order."
"You have not accepted the item.","You have not accepted the item."
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"We cannot add order history.","We cannot add order history."
"SHOPFLIX Order","SHOPFLIX Order"
"We can print 20 vouchers at once you have selected %1","We can print 20 vouchers at once you have selected %1"
"%1 order(s) cannot be ready to be shipped.","%1 order(s) cannot be ready to be shipped."
"You cannot ready to be shipped the order(s).","You cannot ready to be shipped the order(s)."
"We changed the status to Ready to be shipped %1 order(s).","We changed the status to Ready to be shipped %1 order(s)."
"The order can not rejected","The order can not rejected"
"Reject Order","Reject Order"
"You rejected the order.","You rejected the order."
"Exception occurred during order load","Exception occurred during order load"
"Order loading error","Order loading error"
"We can not print the voucher try again later","We can not print the voucher try again later"
"We can not print manifest for empty shipments","We can not print manifest for empty shipments"
"ShopFlix Payment Method","ShopFlix Payment Method"
"SHOPFLIX Order %1 has %2","SHOPFLIX Order %1 has %2"
"Same day","Same day"
"Next day","Next day"
"2 days","2 days"
"3 days","3 days"
"4 days","4 days"
"5 days","5 days"
"6 days","6 days"
"7+ days","7+ days"
"Please enter the username and password and set to yes to get the link for xml","Please enter the username and password and set to yes to get the link for xml"
"<a href='%1' target='_blank'>Xml file for Store View <strong>%2</strong></a>","<a href='%1' target='_blank'>Xml file for Store View <strong>%2</strong></a>"
"Order Accepted","Order Accepted"
"We cannot accept this order.","We cannot accept this order."
"We cannot reject this order.","We cannot reject this order."
"Ordered is ready to be shipped","Ordered is ready to be shipped"
"Order Partial Shipped","Order Partial Shipped"
"We cannot partial shipped this order.","We cannot partial shipped this order."
"Order Shipped","Order Shipped"
"We cannot shipped this order.","We cannot shipped this order."
"Order On the way","Order On the way"
"We cannot cancel this order.","We cannot cancel this order."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be saved.","The order address couldn't be saved."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"Pending Acceptance","Pending Acceptance"
Rejected,Rejected
"On the way","On the way"
"Partial Shipped","Partial Shipped"
Shipped,Shipped
Completed,Completed
"Ready to be shipped","Ready to be shipped"
Canceled,Canceled
Accepted,Accepted
Picking,Picking
Default,Default
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"This shipment no longer exists.","This shipment no longer exists."
"The order no longer exists.","The order no longer exists."
"Tracking information must contain title, carrier code, and tracking number","Tracking information must contain title, carrier code, and tracking number"
"An increment id is needed. Set the increment id  and try again.","An increment id is needed. Set the increment id  and try again."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"Unable to find shopflix order with id ""%1""","Unable to find shopflix order with id ""%1"""
"Unable to find shopflix order with increment id ""%1""","Unable to find shopflix order with increment id ""%1"""
"We cannot determine the field name.","We cannot determine the field name."
City,City
Company,Company
Country,Country
Email,Email
"First Name","First Name"
"Last Name","Last Name"
State/Province,State/Province
"Street Address","Street Address"
"Phone Number","Phone Number"
"Zip/Postal Code","Zip/Postal Code"
"We can't save the address:\n%1","We can't save the address:\n%1"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
View,View
SKU,SKU
Ordered,Ordered
"In Stock","In Stock"
"Comment Text","Comment Text"
Customer,Customer
Notified,Notified
"Not Notified","Not Notified"
"Payment &amp; Shipping Method","Payment &amp; Shipping Method"
"Payment Information","Payment Information"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","Shipping Information"
"The order was placed on shopflix and will shipped by the shopflix","The order was placed on shopflix and will shipped by the shopflix"
%1,%1
Product,Product
Price,Price
Qty,Qty
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Order Total","Order Total"
"Rejection Reason","Rejection Reason"
"Select Reason For Rejection","Select Reason For Rejection"
"Out of stock at the store or at the supplier","Out of stock at the store or at the supplier"
"Incorrectly entered value (s)","Incorrectly entered value (s)"
"Limited pieces","Limited pieces"
"The product has been removed","The product has been removed"
Other,Other
"Reject Totals","Reject Totals"
Status,Status
Comment,Comment
"Order & Account Information","Order & Account Information"
"Order # %1","Order # %1"
"Order Date","Order Date"
"Order Date (%1)","Order Date (%1)"
"Order Status","Order Status"
"Link to Magento Order","Link to Magento Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Account Information","Account Information"
"Edit Customer","Edit Customer"
"Customer Name","Customer Name"
"Address Information","Address Information"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Notes for this Order","Notes for this Order"
"Comment added","Comment added"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Items Ordered","Items Ordered"
"Order Totals","Order Totals"
Carrier,Carrier
Number,Number
Action,Action
"ShopFlix Courier","ShopFlix Courier"
"Track Voucher","Track Voucher"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Items Shipped","Items Shipped"
"Qty Shipped","Qty Shipped"
"Are you sure you want to reject this order?","Are you sure you want to reject this order?"
"Are you sure you want to accept this shopflix order?","Are you sure you want to accept this shopflix order?"
"Are you sure you want to change the status to Ready to be shipped this shopflix order?","Are you sure you want to change the status to Ready to be shipped this shopflix order?"
"ShopFlix Sales","ShopFlix Sales"
"ShopFlix Operations","ShopFlix Operations"
Actions,Actions
"Download Manifest","Download Manifest"
Cancel,Cancel
"ShopFlix Settings Section","ShopFlix Settings Section"
"ShopFlix Shipments","ShopFlix Shipments"
"ShopFlix Settings","ShopFlix Settings"
General,General
Enabled,Enabled
"Convert to magento order","Convert to magento order"
"Auto Accept Order","Auto Accept Order"
"Api Url","Api Url"
"Allows a valid URL. For example, https://www.example.com/api","Allows a valid URL. For example, https://www.example.com/api"
Username,Username
"Api Key","Api Key"
"Select products types","Select products types"
"Xml Configs","Xml Configs"
"Generate Xml","Generate Xml"
"MPN Attribute","MPN Attribute"
"EAN Attribute","EAN Attribute"
"Title Attribute","Title Attribute"
"Description Attribute","Description Attribute"
"Export Category Tree","Export Category Tree"
"Brand Attribute","Brand Attribute"
"Weight Attribute","Weight Attribute"
Shipment,Shipment
"Ship-to Name","Ship-to Name"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
ID,ID
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Customer Email","Customer Email"
"Print Vouchers","Print Vouchers"
"Order #","Order #"
